tx_price,beds,baths,sqft,lot_size,restaurants,groceries,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,median_school,num_schools,two_and_two,old_properties,tax_and_insurance,during_recession,property_age,school_score,exterior_walls_Brick,exterior_walls_Brick veneer,exterior_walls_Combination,exterior_walls_Metal,exterior_walls_Missing,exterior_walls_Other,exterior_walls_Siding (Alum/Vinyl),exterior_walls_Wood,roof_Asphalt,roof_Composition Shingle,roof_Missing,roof_Other,roof_Shake Shingle,property_type_Apartment / Condo / Townhouse,property_type_Single-Family
295850,1,1,584,0,107,9,19,89,6,47,58,33.0,65.0,84.0,9.0,3.0,0,0,315.0,1,0,27.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
216500,1,1,612,0,105,15,13,87,2,26,14,39.0,73.0,69.0,3.0,3.0,0,1,220.0,0,41,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
279900,1,1,615,0,183,13,30,101,10,74,62,28.0,15.0,86.0,8.0,3.0,0,1,290.0,1,49,24.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
379900,1,1,618,33541,198,9,25,127,11,72,83,36.0,25.0,91.0,9.0,3.0,0,0,357.0,0,5,27.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
340000,1,1,634,0,149,7,20,83,10,50,73,37.0,20.0,75.0,9.0,3.0,0,0,118.0,0,10,27.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
265000,1,1,641,0,146,10,27,86,9,60,52,28.0,15.0,86.0,8.0,3.0,0,1,226.0,0,57,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
240000,1,1,642,0,159,13,17,92,12,66,50,28.0,36.0,88.0,7.0,3.0,0,1,237.0,1,67,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
388100,1,1,650,33541,198,9,25,127,11,72,83,36.0,25.0,91.0,9.0,3.0,0,0,358.0,0,5,27.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
240000,1,1,660,0,51,8,2,40,18,32,41,36.0,49.0,77.0,6.0,3.0,0,0,253.0,1,30,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
250000,1,1,664,0,119,10,25,183,13,70,36,57.0,13.0,83.0,6.0,3.0,0,1,198.0,0,42,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
335000,1,1,669,0,148,10,23,57,5,37,29,34.0,29.0,88.0,6.0,3.0,0,0,334.0,0,9,18.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
376750,1,1,673,46609,193,10,27,133,10,74,86,29.0,15.0,82.0,9.0,3.0,0,0,352.0,0,1,27.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
210000,1,1,680,0,8,1,3,10,1,10,10,60.0,15.0,63.0,4.0,3.0,0,1,191.0,0,43,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
289900,1,1,685,48787,189,13,31,102,11,75,64,28.0,15.0,86.0,8.0,3.0,0,1,263.0,0,45,24.0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
