backers_count,final_status,amount,time_to_achieve,completion_before_deadline
3,1,20.0,0,1
25,1,99.0,0,1
18,1,500.0,0,1
2,0,300.0,1,0
163,1,1500.0,0,1
3,0,640.0,0,1
98,1,500.0,0,1
1,0,2000.0,0,1
29,1,500.0,0,1
0,0,200.0,0,1
14,0,700.0,4,1
32,1,1000.0,0,1
44,0,5000.0,0,1
132,1,3500.0,0,1
54,1,365.0,0,1
2,0,250.0,0,1
7,0,30000.0,2,1
10,1,100.0,0,1
0,0,2500.0,0,1
0,0,5000.0,14,1
0,0,30.0,0,1
1,0,2000.0,0,1
18,0,3500.0,0,1
1,0,800.0,0,1
3,0,500.0,3,1
28,1,1500.0,0,1
25,0,1200.0,0,1
2,0,300.0,0,1
79,1,5500.0,1,1
20,1,1000.0,0,1
205,1,2000.0,16,1
14,0,700.0,13,1
6,0,3000.0,0,1
36,0,1500.0,1,1
389,1,1000.0,1,1
98,0,9999.0,8,1
75,0,6000.0,4,1
23,1,1000.0,4,1
19,1,1000.0,0,1
74,1,1000.0,3,1
36,1,3000.0,1,1
0,0,15000.0,0,1
1,0,8000.0,4,1
2,0,200.0,2,1
2,0,2499.0,0,1
59,1,2400.0,19,1
10,0,2000.0,3,1
0,0,8175.0,0,1
0,0,10000.0,2,1
54,0,3500.0,1,1
57,0,5000.0,1,1
4,0,4500.0,12,1
59,1,2000.0,2,1
20,1,400.0,1,1
12,0,600.0,2,1
27,0,5000.0,15,1
16,0,1600.0,0,1
51,1,250.0,1,1
77,0,7500.0,8,1
16,1,300.0,2,1
80,1,3000.0,8,1
139,0,17000.0,7,1
33,0,2000.0,59,1
18,1,1000.0,0,1
65,0,10000.0,2,1
9,0,1200.0,11,1
0,0,10000.0,0,1
224,1,10000.0,8,1
1,0,1350.0,4,1
0,0,5999.0,0,1
7,0,2500.0,5,1
79,1,3500.0,1,1
54,1,2495.0,4,1
56,0,3500.0,12,1
12,0,1500.0,0,1
148,0,8000.0,27,1
28,1,3500.0,2,1
38,1,550.0,1,1
57,1,2000.0,4,1
0,0,5000.0,2,1
56,1,2000.0,6,1
7,0,5000.0,3,1
68,0,3000.0,19,1
6,0,325000.0,3,1
6,0,2000.0,30,1
10,1,6000.0,1,1
398,0,20000.0,1,1
1,0,2000.0,0,1
35,0,1000.0,10,1
25,0,5000.0,0,1
3,0,3000.0,5,1
4,0,5000.0,47,1
3,0,3000.0,0,1
23,1,2500.0,2,1
18,0,10000.0,0,1
5,0,3500.0,7,1
16,0,1400.0,0,1
5,0,2500.0,2,1
36,1,3200.0,32,1
5,1,200.0,0,1
21,0,3250.0,0,1
0,0,1000.0,2,1
0,0,6000.0,0,1
19,1,315.0,0,1
67,1,1000.0,32,1
31,1,800.0,0,1
149,1,7500.0,1,1
12,0,2000.0,45,1
20,0,2500.0,2,1
104,1,3500.0,6,1
97,1,3500.0,1,1
181,0,50000.0,7,1
0,0,5000.0,4,1
83,1,2000.0,25,1
2,0,5400.0,8,1
21,0,3500.0,3,1
131,1,10000.0,4,1
56,1,3000.0,21,1
4,0,2000.0,11,1
10,0,4000.0,1,1
8,0,2500.0,4,1
11,1,200.0,0,1
5,0,4800.0,48,1
0,0,2000.0,0,1
17,0,5000.0,1,1
46,1,1000.0,31,1
16,1,300.0,0,1
92,1,4500.0,1,1
1,0,2500.0,11,1
93,1,2500.0,5,1
50,1,5000.0,39,1
58,1,2325.0,14,1
16,1,1500.0,40,1
1,0,8500.0,0,1
26,0,20000.0,6,1
37,0,5000.0,0,1
0,0,3500.0,2,1
38,1,500.0,1,1
31,1,1135.0,0,1
20,0,63000.0,0,1
25,0,5000.0,0,1
81,1,4000.0,12,1
0,0,10000.0,2,1
5,0,5000.0,0,1
10,0,2500.0,2,1
163,1,5000.0,6,1
6,0,10000.0,5,1
2,0,3000.0,2,1
570,1,3500.0,6,1
11,1,500.0,0,1
50,1,3500.0,31,1
21,0,2500.0,4,1
0,0,5000.0,4,1
103,1,8300.0,10,1
0,0,10000.0,3,1
44,1,2000.0,3,1
0,0,285.0,1,1
7,0,1200.0,1,1
30,1,993.0,5,1
36,1,2000.0,6,1
0,0,9500.0,5,1
53,1,3000.0,4,1
108,1,3500.0,7,1
5,0,480.0,0,1
64,1,1500.0,1,1
66,0,5000.0,0,1
26,0,1000.0,0,1
89,1,6000.0,8,1
51,0,9000.0,5,1
34,0,2000.0,1,1
46,0,4000.0,1,1
0,0,500.0,1,1
7,0,500.0,0,1
56,1,5000.0,1,1
170,1,7000.0,1,1
0,0,3000.0,0,1
0,0,5000.0,91,1
0,0,5000.0,0,1
22,1,4000.0,24,1
9,0,4000.0,0,1
0,0,4000.0,0,1
64,1,3000.0,2,1
132,1,10000.0,7,1
6,0,3500.0,4,1
0,0,25000.0,0,1
0,0,1000.0,0,1
18,1,5000.0,0,1
68,1,1500.0,0,1
14,1,500.0,5,1
0,0,5000.0,0,1
38,1,195.0,31,1
66,1,100.0,4,1
30,1,1500.0,0,1
2,0,3000.0,9,1
62,1,5000.0,4,1
4,0,5850.0,1,1
2,0,1000.0,0,1
34,0,2000.0,0,1
0,0,11000.0,1,1
14,0,7000.0,44,1
0,0,4850.0,6,1
2,0,2300.0,8,1
0,0,8000.0,1,1
10,0,1300.0,2,1
56,0,7000.0,2,1
9,0,555.0,6,1
19,0,8000.0,6,1
173,1,4800.0,2,1
1,0,1000.0,0,1
7,0,3500.0,16,1
10,0,5000.0,0,1
7,0,4500.0,40,1
0,0,4550.0,0,1
53,0,15000.0,16,1
0,0,7500.0,4,1
1,0,1500.0,1,1
35,0,12300.0,1,1
18,0,2500.0,2,1
0,0,1120.0,0,1
48,1,2000.0,2,1
26,0,1800.0,16,1
13,0,10000.0,1,1
55,1,6000.0,0,1
4,0,3000.0,0,1
318,1,7500.0,10,1
5,0,1400.0,5,1
82,1,3500.0,14,1
5,0,8000.0,0,1
9,0,5000.0,18,1
