tx_price,beds,baths,sqft,year_built,lot_size,property_type,exterior_walls,roof,basement,restaurants,groceries,nightlife,cafes,shopping,arts_entertainment,beauty_spas,active_life,median_age,married,college_grad,property_tax,insurance,median_school,num_schools,tx_year
295850,1,1,584,2013,0,Apartment / Condo / Townhouse,Wood Siding,,,107,9,30,19,89,6,47,58,33.0,65.0,84.0,234.0,81.0,9.0,3.0,2013
216500,1,1,612,1965,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,105,15,6,13,87,2,26,14,39.0,73.0,69.0,169.0,51.0,3.0,3.0,2006
279900,1,1,615,1963,0,Apartment / Condo / Townhouse,Wood Siding,,,183,13,31,30,101,10,74,62,28.0,15.0,86.0,216.0,74.0,8.0,3.0,2012
379900,1,1,618,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36.0,25.0,91.0,265.0,92.0,9.0,3.0,2005
340000,1,1,634,1992,0,Apartment / Condo / Townhouse,Brick,,,149,7,22,20,83,10,50,73,37.0,20.0,75.0,88.0,30.0,9.0,3.0,2002
265000,1,1,641,1947,0,Apartment / Condo / Townhouse,Brick,,,146,10,23,27,86,9,60,52,28.0,15.0,86.0,168.0,58.0,8.0,3.0,2004
240000,1,1,642,1944,0,Single-Family,Brick,,,159,13,36,17,92,12,66,50,28.0,36.0,88.0,176.0,61.0,7.0,3.0,2011
388100,1,1,650,2000,33541,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,127,11,72,83,36.0,25.0,91.0,266.0,92.0,9.0,3.0,2005
240000,1,1,660,1983,0,Apartment / Condo / Townhouse,Brick,,,51,8,6,2,40,18,32,41,36.0,49.0,77.0,188.0,65.0,6.0,3.0,2013
250000,1,1,664,1965,0,Apartment / Condo / Townhouse,Brick,,,119,10,26,25,183,13,70,36,57.0,13.0,83.0,147.0,51.0,6.0,3.0,2007
335000,1,1,669,2006,0,Apartment / Condo / Townhouse,Wood Siding,,,148,10,27,23,57,5,37,29,34.0,29.0,88.0,248.0,86.0,6.0,3.0,2015
376750,1,1,673,2005,46609,Apartment / Condo / Townhouse,Concrete Block,,,193,10,37,27,133,10,74,86,29.0,15.0,82.0,262.0,90.0,9.0,3.0,2006
210000,1,1,680,1963,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,8,1,0,3,10,1,10,10,60.0,15.0,63.0,147.0,44.0,4.0,3.0,2006
289900,1,1,685,1960,48787,Apartment / Condo / Townhouse,Brick,,,189,13,37,31,102,11,75,64,28.0,15.0,86.0,195.0,68.0,8.0,3.0,2005
535000,1,1,687,2008,0,Apartment / Condo / Townhouse,Wood Siding,,,266,12,54,45,328,35,126,88,28.0,52.0,72.0,421.0,146.0,8.0,3.0,2014
218000,1,1,689,1988,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,150,6,20,27,329,12,83,46,32.0,33.0,92.0,188.0,57.0,10.0,3.0,2009
400000,1,1,689,2008,0,Apartment / Condo / Townhouse,Wood Siding,,,198,9,38,25,126,12,72,84,29.0,15.0,82.0,276.0,96.0,9.0,3.0,2016
226000,1,1,690,1997,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,60,3,9,15,156,3,30,12,36.0,47.0,83.0,221.0,67.0,8.0,3.0,2008
363700,1,1,692,2007,0,Apartment / Condo / Townhouse,Brick,,,180,14,37,34,104,13,72,68,36.0,25.0,75.0,302.0,104.0,8.0,3.0,2007
215000,1,1,698,1963,0,Apartment / Condo / Townhouse,Brick,,,31,6,5,8,32,2,19,14,32.0,60.0,47.0,120.0,42.0,7.0,3.0,2005
327000,1,1,698,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,,146,7,22,20,79,10,49,74,27.0,21.0,94.0,256.0,88.0,9.0,3.0,2010
331100,1,1,700,2005,9686,Apartment / Condo / Townhouse,Concrete Block,,,146,7,22,20,79,10,49,74,27.0,21.0,94.0,251.0,87.0,9.0,3.0,2012
240000,1,1,703,1992,0,Apartment / Condo / Townhouse,Wood,Composition Shingle,1.0,82,6,7,8,45,6,52,13,30.0,46.0,36.0,139.0,42.0,7.0,3.0,2005
320000,1,1,704,2005,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99,8,8,11,103,4,47,34,31.0,30.0,99.0,261.0,79.0,8.0,3.0,2007
290800,1,1,704,2006,0,Apartment / Condo / Townhouse,Brick,Composition Shingle,1.0,99,9,8,11,103,4,46,34,31.0,30.0,99.0,257.0,78.0,8.0,3.0,2006
375000,1,1,705,1985,0,Apartment / Condo / Townhouse,Brick,,,182,10,31,25,103,10,63,83,33.0,21.0,99.0,244.0,85.0,9.0,3.0,2005
377000,1,1,709,2005,111513,Apartment / Condo / Townhouse,Wood Siding,,,213,13,44,30,108,11,91,88,33.0,40.0,96.0,316.0,109.0,5.0,3.0,2008
